日付,予定開始時刻,予定終了時刻,残業後休憩時間,実績終了時刻,残業時間
2021/11/01,00:00,00:00,00:00,00:00,00:00
2021/11/02,00:00,00:00,00:00,00:00,00:00
2021/11/03,00:00,00:00,00:00,00:00,00:00
2021/11/04,00:00,00:00,00:00,00:00,00:00
2021/11/05,00:00,00:00,00:00,00:00,00:00
2021/11/06,00:00,00:00,00:00,00:00,00:00
2021/11/07,00:00,00:00,00:00,00:00,00:00
2021/11/08,00:00,00:00,00:00,00:00,00:00
2021/11/09,00:00,00:00,00:00,00:00,00:00
2021/11/10,00:00,00:00,00:00,00:00,00:00
2021/11/11,00:00,00:00,00:00,00:00,00:00
2021/11/12,00:00,00:00,00:00,00:00,00:00
2021/11/13,00:00,00:00,00:00,00:00,00:00
2021/11/14,00:00,00:00,00:00,00:00,00:00
2021/11/15,00:00,00:00,00:00,00:00,00:00
2021/11/16,00:00,00:00,00:00,00:00,00:00
2021/11/17,00:00,00:00,00:00,00:00,00:00
2021/11/18,00:00,00:00,00:00,00:00,00:00
2021/11/19,00:00,00:00,00:00,00:00,00:00
2021/11/20,00:00,00:00,00:00,00:00,00:00
2021/11/21,00:00,00:00,00:00,00:00,00:00
2021/11/22,00:00,00:00,00:00,00:00,00:00
2021/11/23,00:00,00:00,00:00,00:00,00:00
2021/11/24,00:00,00:00,00:00,00:00,00:00
2021/11/25,00:00,00:00,00:00,00:00,00:00
2021/11/26,00:00,00:00,00:00,00:00,00:00
2021/11/27,00:00,00:00,00:00,00:00,00:00
2021/11/28,00:00,00:00,00:00,00:00,00:00
2021/11/29,00:00,00:00,00:00,00:00,00:00
2021/11/30,00:00,00:00,00:00,00:00,00:00
総残業時間,0:00,,,,
